First Name,Last Name,sex,age,address,contact,email,currentdate,Response 1,Response 2,Response 3,Response 4
Joshua Lemuel,Centina,Male,19,Address,0912345678,joshua@gmail.com,7/21/23,None,None,None,None
Joshua Lemuel,Centina,Male,19,Address,0912345678,joshua@gmail.com,7/21/23,No,No,No,No
1234,wdaaAdcs,21451,12,d21gsdvxcv,asxczx,cxcxv,7/21/23,No,Yes,No,No
2,1,Male,12,12,21,21,7/21/23,No,No,No,No
778,67,76,8787,67,87,87,7/21/23,No,No,No,No
21,213,3232,2,321,12,32,7/21/23,No,No,No,No
1212,21,21,21,12,12,21,7/21/23,No,No,No,No
dwa,wa,121,32,32112,3231,321321,7/21/23,No,No,Yes,Yes
231231,321,321,213,321312,32112,12312,7/21/23,No,No,No,No
321,12,21,12,32,321,12,7/21/23,No,No,No,No
12,32,12,122,321,1212,121,7/21/23,No,No,No,No
daw,asdasc,xczc,21,csad,dawda,dwadaw,7/21/23,No,No,No,No
231321,321231231,332321,12121,231321,321312,321321,7/21/23,No,No,No,No
321,123,231,12,213213,321,321,7/21/23,No,No,No,No
12,21,21,12,21,21,21,7/21/23,No,No,No,No
123,231,12,12,12,12,21,7/21/23,No,No,No,No
3asd,das,dsa,dsa,dsad,ds,dsa,7/21/23,No,No,No,No
12,21,12,1,21,12,21,7/21/23,No,No,No,No
21,21,32,12,21,12,32,7/21/23,No,No,No,No
213,321,321,12,12,21,21,7/21/23,No,No,No,No
123,321,213,1,123,321,321,7/21/23,No,No,No,No
12,21,21,12,1212,12,12,7/21/23,No,No,No,No
12,12,Female,12,12,12,1212,7/21/23,No,No,No,No
12,32,1212,12,121,12,12,7/21/23,No,No,No,No
32,12,123,5231,521,1241,421,7/21/23,Yes,Yes,No,No
yes,yes,yes,2112,yes,12,12,7/21/23,Yes,Yes,Yes,Yes
